Data,Cliques,Impressões,CTR,Posição
2026-02-01,0,58,0%,6.3
2026-02-02,0,50,0%,12.2
2026-02-03,0,55,0%,6
2026-02-04,1,35,2.86%,8.2
2026-02-05,0,39,0%,10.6
2026-02-06,0,35,0%,9.6
2026-02-07,1,17,5.88%,8.2
2026-02-08,0,9,0%,8.3
2026-02-09,0,41,0%,13.6
2026-02-10,0,37,0%,8.6
2026-02-11,2,90,2.22%,11.7
2026-02-12,0,52,0%,11.3
2026-02-13,1,47,2.13%,10.6
2026-02-14,0,36,0%,11.1
2026-02-15,0,40,0%,12.6
2026-02-16,0,61,0%,12.3
2026-02-17,0,152,0%,7.8
2026-02-18,1,77,1.3%,9.6
2026-02-19,2,105,1.9%,8.4
2026-02-20,1,162,0.62%,7.2
2026-02-21,0,378,0%,6.9
2026-02-22,0,62,0%,8.2
2026-02-23,1,314,0.32%,7.6
2026-02-24,0,209,0%,6.2
2026-02-25,0,105,0%,10.5
2026-02-26,0,124,0%,5.7
2026-02-27,0,32,0%,11.8
2026-02-28,0,18,0%,12.3
