País,Cliques,Impressões,CTR,Posição
Brasil,9,767,1.17%,11.88
Irlanda,1,6,16.67%,4.17
Estados Unidos,0,864,0%,6.7
Reino Unido,0,79,0%,6.77
Argentina,0,57,0%,5.63
Colômbia,0,42,0%,6.05
Índia,0,41,0%,6.39
Indonésia,0,33,0%,6.61
França,0,31,0%,6.81
Itália,0,29,0%,12.52
Equador,0,27,0%,5.52
Canadá,0,27,0%,11.48
Espanha,0,23,0%,5.43
México,0,23,0%,5.7
Bangladesh,0,22,0%,6.36
Turquia,0,20,0%,5.25
República Dominicana,0,20,0%,6.8
Portugal,0,18,0%,3.83
Peru,0,17,0%,5.94
Malásia,0,16,0%,5.19
Filipinas,0,16,0%,5.25
Chile,0,15,0%,6.2
Ucrânia,0,11,0%,5.91
Austrália,0,11,0%,16.27
Países Baixos,0,10,0%,16.2
Vietnã,0,9,0%,5
Argélia,0,9,0%,6.56
Polônia,0,8,0%,5.12
Costa Rica,0,7,0%,7.43
África do Sul,0,6,0%,2.67
Jamaica,0,6,0%,6
Japão,0,6,0%,11.67
República Tcheca,0,5,0%,4.4
Alemanha,0,5,0%,5.6
Grécia,0,5,0%,5.8
Bulgária,0,5,0%,6.2
China,0,5,0%,6.2
Lituânia,0,4,0%,4
Trinidad e Tobago,0,4,0%,4.5
Honduras,0,4,0%,5.25
Singapura,0,4,0%,5.25
Eslováquia,0,4,0%,5.5
Bolívia,0,4,0%,6
Albânia,0,4,0%,6.25
Paraguai,0,4,0%,7.5
Venezuela,0,4,0%,7.5
Tailândia,0,4,0%,9.75
Guatemala,0,3,0%,3.67
Paquistão,0,3,0%,4
Tunísia,0,3,0%,5.33
Hungria,0,3,0%,6
Moldávia,0,3,0%,6
Nepal,0,3,0%,7
Finlândia,0,3,0%,7.33
Marrocos,0,3,0%,8
Uruguai,0,3,0%,9.67
Geórgia,0,2,0%,1.5
Letônia,0,2,0%,2.5
Suíça,0,2,0%,3
Guiana,0,2,0%,4
Líbano,0,2,0%,4
Maldivas,0,2,0%,4.5
Azerbaijão,0,2,0%,5
Hong Kong,0,2,0%,5.5
Jordânia,0,2,0%,5.5
Taiwan,0,2,0%,5.5
Estônia,0,2,0%,6
Palestina,0,2,0%,6
Região desconhecida,0,2,0%,6
Bósnia e Herzegovina,0,2,0%,6.5
Porto Rico,0,2,0%,6.5
El Salvador,0,2,0%,6.5
Romênia,0,2,0%,7
Emirados Árabes Unidos,0,2,0%,9
Barbados,0,2,0%,9
Sri Lanka,0,2,0%,10.5
Dominica,0,2,0%,11
Dinamarca,0,2,0%,25
Antígua e Barbuda,0,1,0%,1
Mianmar (Birmânia),0,1,0%,1
Armênia,0,1,0%,3
Nigéria,0,1,0%,3
Camboja,0,1,0%,4
Mongólia,0,1,0%,4
Omã,0,1,0%,4
Barein,0,1,0%,5
Congo-Kinshasa,0,1,0%,5
Rússia,0,1,0%,5
Haiti,0,1,0%,6
Panamá,0,1,0%,6
Ilhas Seychelles,0,1,0%,6
Etiópia,0,1,0%,7
Irã,0,1,0%,7
Bielorrússia,0,1,0%,8
Egito,0,1,0%,8
Israel,0,1,0%,8
Suriname,0,1,0%,8
Suécia,0,1,0%,8
Jersey,0,1,0%,9
Quênia,0,1,0%,9
Noruega,0,1,0%,9
Arábia Saudita,0,1,0%,9
Sérvia,0,1,0%,9
Belize,0,1,0%,10
Bermudas,0,1,0%,10
Coréia do Sul,0,1,0%,10
