Data,Cliques,Impressões,CTR,Posição
2026-01-01,0,2,0%,5.5
2026-01-02,0,0,,
2026-01-03,0,0,,
2026-01-04,0,0,,
2026-01-05,0,2,0%,4.5
2026-01-06,0,1,0%,89
2026-01-07,1,3,33.33%,6.3
2026-01-08,0,1,0%,2
2026-01-09,0,3,0%,6.7
2026-01-10,0,6,0%,12.8
2026-01-11,1,9,11.11%,12.8
2026-01-12,0,15,0%,13.8
2026-01-13,0,13,0%,14.3
2026-01-14,0,34,0%,6.6
2026-01-15,0,22,0%,6.3
2026-01-16,0,18,0%,11.4
2026-01-17,0,9,0%,17.4
2026-01-18,1,12,8.33%,19.8
2026-01-19,0,31,0%,11.2
2026-01-20,0,12,0%,12.3
2026-01-21,0,9,0%,15.9
2026-01-22,0,17,0%,9.2
2026-01-23,0,12,0%,9.1
2026-01-24,0,12,0%,11.1
2026-01-25,0,5,0%,27.8
2026-01-26,0,12,0%,4.2
2026-01-27,1,19,5.26%,7.5
2026-01-28,0,17,0%,4.9
2026-01-29,0,17,0%,18.1
2026-01-30,1,29,3.45%,10.8
2026-01-31,2,30,6.67%,7.5
