País,Cliques,Impressões,CTR,Posição
Brasil,7,150,4.67%,13.43
Estados Unidos,0,130,0%,8.42
Reino Unido,0,38,0%,5.13
Portugal,0,7,0%,8.71
Canadá,0,5,0%,14.2
França,0,3,0%,21
México,0,2,0%,4
Países Baixos,0,2,0%,4
Cazaquistão,0,2,0%,5.5
Turquia,0,2,0%,7.5
Malásia,0,2,0%,23
Filipinas,0,2,0%,24.5
Costa Rica,0,1,0%,1
Itália,0,1,0%,1
Trinidad e Tobago,0,1,0%,1
Israel,0,1,0%,4
Tunísia,0,1,0%,4
Suíça,0,1,0%,6
Letônia,0,1,0%,6
Moçambique,0,1,0%,6
Japão,0,1,0%,7
Índia,0,1,0%,8
Suécia,0,1,0%,8
Bangladesh,0,1,0%,9
Kuwait,0,1,0%,10
Ucrânia,0,1,0%,10
República Tcheca,0,1,0%,11
Indonésia,0,1,0%,12
Nepal,0,1,0%,12
Paquistão,0,1,0%,12
Vietnã,0,1,0%,18
Bulgária,0,1,0%,19
China,0,1,0%,19
Chipre,0,1,0%,19
Sri Lanka,0,1,0%,19
Maldivas,0,1,0%,20
Egito,0,1,0%,29
Venezuela,0,1,0%,40
Alemanha,0,1,0%,47
