Data,Cliques,Impressões,CTR,Posição
2026-03-01,0,102,0%,6.8
2026-03-02,1,249,0.4%,6.5
2026-03-03,0,288,0%,5.9
2026-03-04,1,339,0.29%,5.3
2026-03-05,0,254,0%,5.5
2026-03-06,0,152,0%,6.2
2026-03-07,0,59,0%,7.1
2026-03-08,0,578,0%,5.6
2026-03-09,0,173,0%,7.2
2026-03-10,1,84,1.19%,6.5
2026-03-11,0,422,0%,6.3
2026-03-12,1,703,0.14%,6.5
2026-03-13,0,343,0%,6.7
2026-03-14,0,491,0%,6.8
2026-03-15,0,323,0%,7.6
2026-03-16,0,373,0%,7.3
2026-03-17,2,3350,0.06%,7.1
2026-03-18,3,1011,0.3%,7.1
2026-03-19,0,405,0%,7.3
2026-03-20,0,394,0%,6.8
2026-03-21,1,639,0.16%,6.9
2026-03-22,1,569,0.18%,6.8
2026-03-23,5,794,0.63%,7.3
2026-03-24,4,409,0.98%,7.5
2026-03-25,6,361,1.66%,8.7
2026-03-26,3,604,0.5%,8.7
2026-03-27,0,48,0%,8.6
