País,Cliques,Impressões,CTR,Posição
Brasil,29,1956,1.48%,6.61
Estados Unidos,0,6529,0%,7.05
Canadá,0,438,0%,6.95
México,0,281,0%,7.38
Índia,0,242,0%,6.67
Espanha,0,211,0%,6.73
França,0,204,0%,6.34
Reino Unido,0,187,0%,6.95
China,0,173,0%,6.98
Itália,0,150,0%,6.59
Argentina,0,144,0%,7.36
Indonésia,0,128,0%,7.56
Turquia,0,120,0%,6.57
Colômbia,0,115,0%,7.38
Vietnã,0,109,0%,7.06
Hong Kong,0,105,0%,7.31
Bangladesh,0,104,0%,6.7
Irã,0,94,0%,7.1
Alemanha,0,86,0%,8.2
Ucrânia,0,82,0%,7.4
Equador,0,80,0%,6.59
Portugal,0,77,0%,5.88
Rússia,0,71,0%,8.01
Peru,0,70,0%,6.7
Polônia,0,66,0%,6.67
Malásia,0,65,0%,6.71
Filipinas,0,65,0%,7.88
Países Baixos,0,54,0%,6.78
Tailândia,0,52,0%,7.94
Chile,0,49,0%,7.02
Japão,0,47,0%,7.19
República Tcheca,0,45,0%,6.33
Austrália,0,44,0%,6.73
República Dominicana,0,44,0%,6.84
Argélia,0,42,0%,7.12
Marrocos,0,41,0%,6.59
Israel,0,38,0%,8.71
Irlanda,0,36,0%,6.11
Emirados Árabes Unidos,0,36,0%,6.25
Taiwan,0,35,0%,7.83
Bélgica,0,32,0%,5.66
Coréia do Sul,0,31,0%,6.03
Romênia,0,31,0%,6.81
Cuba,0,30,0%,7.2
Paquistão,0,27,0%,7.19
Venezuela,0,26,0%,6.38
Suíça,0,25,0%,6.52
Bulgária,0,24,0%,7.04
Noruega,0,23,0%,6.65
Paraguai,0,22,0%,6
Singapura,0,21,0%,7
Hungria,0,20,0%,6.8
Grécia,0,20,0%,7.95
Suécia,0,18,0%,6.11
Sérvia,0,18,0%,6.83
Camboja,0,18,0%,7.17
África do Sul,0,18,0%,7.28
Croácia,0,18,0%,7.39
Iraque,0,17,0%,6.06
Egito,0,17,0%,7.94
Arábia Saudita,0,16,0%,6.12
Bahamas,0,16,0%,7.06
Jamaica,0,16,0%,8.12
Dinamarca,0,16,0%,9.31
Eslovênia,0,15,0%,5.6
Moldávia,0,15,0%,6.47
Eslováquia,0,14,0%,6.36
Palestina,0,14,0%,7
Kosovo,0,14,0%,7.43
Honduras,0,13,0%,5.92
Costa Rica,0,13,0%,6.15
Geórgia,0,13,0%,6.31
Bósnia e Herzegovina,0,13,0%,6.69
Albânia,0,13,0%,6.77
Região desconhecida,0,12,0%,6.33
Tunísia,0,12,0%,7
Uruguai,0,12,0%,7.42
Áustria,0,12,0%,8.92
Nigéria,0,11,0%,5.73
Lituânia,0,11,0%,5.91
Nepal,0,10,0%,6.8
Cazaquistão,0,9,0%,6.44
Sri Lanka,0,9,0%,7
Porto Rico,0,9,0%,7.89
Finlândia,0,9,0%,8.22
Trinidad e Tobago,0,8,0%,4.62
Bolívia,0,8,0%,5.5
Bielorrússia,0,8,0%,5.62
Jordânia,0,8,0%,6.12
Quênia,0,8,0%,6.88
Armênia,0,8,0%,7
Macedônia,0,8,0%,8
Etiópia,0,7,0%,6
Barein,0,7,0%,6.57
Panamá,0,7,0%,6.71
Nova Zelândia,0,7,0%,8.86
Mongólia,0,6,0%,5.83
Guatemala,0,6,0%,6.5
Azerbaijão,0,6,0%,8.17
Chipre,0,6,0%,8.33
El Salvador,0,5,0%,5
Senegal,0,5,0%,5.4
Letônia,0,5,0%,7.6
Malta,0,5,0%,9
Síria,0,5,0%,9.2
Barbados,0,4,0%,5.25
Belize,0,4,0%,6.25
Gana,0,4,0%,6.25
Catar,0,4,0%,6.25
Mianmar (Birmânia),0,4,0%,6.75
Omã,0,4,0%,7
Líbano,0,4,0%,7.25
Nicarágua,0,4,0%,9
Benin,0,3,0%,6
Guadalupe,0,3,0%,6.33
Estônia,0,3,0%,7
Haiti,0,3,0%,7
Angola,0,3,0%,8.67
Uzbequistão,0,3,0%,8.67
Luxemburgo,0,3,0%,9.33
Granada,0,2,0%,5
Ilhas Turks e Caicos,0,2,0%,5
Guiana,0,2,0%,6.5
Suriname,0,2,0%,6.5
Tanzânia,0,2,0%,7.5
Ilhas Virgens Americanas,0,2,0%,7.5
Ilhas Virgens Britânicas,0,2,0%,8
Macau,0,2,0%,8.5
Uganda,0,2,0%,9
Líbia,0,1,0%,2
Madagascar,0,1,0%,2
Bermudas,0,1,0%,3
Papua-Nova Guiné,0,1,0%,3
Zâmbia,0,1,0%,3
Curaçao,0,1,0%,4
Islândia,0,1,0%,4
Moçambique,0,1,0%,4
Andorra,0,1,0%,5
Iêmen,0,1,0%,5
Antígua e Barbuda,0,1,0%,7
Santa Lúcia,0,1,0%,7
Laos,0,1,0%,8
Maldivas,0,1,0%,8
Togo,0,1,0%,8
Timor-Leste,0,1,0%,8
Congo-Kinshasa,0,1,0%,9
Mauritânia,0,1,0%,9
Brunei,0,1,0%,10
Eritréia,0,1,0%,10
Ilha de Man,0,1,0%,10
Kuwait,0,1,0%,10
Polinésia Francesa,0,1,0%,10
Reunião,0,1,0%,14
Congo-Brazzaville,0,1,0%,43
