Data,Total de solicitações de rastreamento,Tamanho total do download (bytes),Média do tempo de resposta (ms)
2026-04-18,1231,15107181,93
2026-04-19,143,1775883,93
2026-04-20,37,11141229,135
2026-04-21,13,462324,118
2026-04-22,21,10284579,125
2026-04-23,23,1770747,106
2026-04-24,69,10727621,98
2026-04-25,62,1416441,67
2026-04-26,55,430778,52
2026-04-27,39,10404791,99
2026-04-28,41,690904,65
2026-04-29,11,8934250,138
2026-04-30,12,850313,90
2026-05-01,199,12008523,69
2026-05-02,339,3577197,59
2026-05-03,146,12557823,95
2026-05-04,10,508172,114
2026-05-05,67,10639372,105
2026-05-06,42,1460789,93
2026-05-07,24,1247054,121
2026-05-08,12,8603272,125
2026-05-09,10,623510,143
2026-05-10,81,10715681,111
2026-05-11,33,1525306,115
2026-05-12,35,9441904,95
2026-05-13,53,1601871,92
2026-05-14,141,10392746,77
2026-05-15,31,1278792,96
2026-05-16,40,9259390,100
2026-05-17,74,3033320,123
2026-05-18,55,11408350,1056
2026-05-19,14,723176,7234
2026-05-20,26,1190773,5862
2026-05-21,48,1006275,5853
2026-05-22,11,9413393,249
2026-05-23,7,797188,7217
2026-05-24,24,783385,63
2026-05-25,19,495138,5348
2026-05-26,28,9034959,7223
2026-05-27,17,709222,83
2026-05-28,42,1346530,6059
2026-05-29,13,316465,15442
2026-05-30,24,534874,4232
2026-05-31,29,593963,6105
2026-06-01,19,1189411,5338
2026-06-02,45,1234883,3436
2026-06-03,15,278009,6768
2026-06-04,28,8793590,1863
2026-06-05,17,782365,8934
2026-06-06,16,9019156,3265
2026-06-07,30,893272,1744
2026-06-08,54,9600212,1008
2026-06-09,29,1550833,87
2026-06-10,4,8625246,161
2026-06-11,41,1025272,167
2026-06-12,41,10059678,254
2026-06-13,130,3683365,183
2026-06-14,1742,24060148,113
2026-06-15,46,2459607,227
2026-06-16,31,9821924,222
2026-06-17,33,1315274,162
2026-06-18,19,929047,165
2026-06-19,22,9167412,232
2026-06-20,23,1226439,201
2026-06-21,20,8668819,148
2026-06-22,15,2224219,236
2026-06-23,19,8697500,152
2026-06-24,51,3988401,148
2026-06-25,72,1570286,106
2026-06-26,51,1310854,140
2026-06-27,219,1837760,78
2026-06-28,23,651296,124
2026-06-29,40,916782,111
2026-06-30,17,755564,149
2026-07-01,46,1992427,144
2026-07-02,88,2699749,142
2026-07-03,28,1734135,138
2026-07-04,32,1136706,179
